benchmark_id,q_tag,skeleton_sql,example_question,mimiciii_query_template,mimiciv_cdm_query_template,tag_items,tag_item_subtypes,value_arguments,observed_tag_item_signature_count,observed_value_count,skeleton_variant_candidate,variant_risk_level,variant_driver_tag_items,variant_reason
ehrsql_112,count the number of current patients.,"select count(distinct v.person_id) from <SCHEMA>.visit_occurrence v where v.visit_start_date <= {anchor_date} and coalesce(v.visit_end_date, {anchor_date}) >= {anchor_date}",Count the number of patients who are currently in the hospital.,select count( distinct admissions.subject_id ) from admissions where admissions.dischtime is null,"select count(distinct v.person_id) from <SCHEMA>.visit_occurrence v where v.visit_start_date <= {anchor_date} and coalesce(v.visit_end_date, {anchor_date}) >= {anchor_date}",NONE,NONE,NONE,1,0,NO,low,,current visit simulated with anchor containment at 2215-01-16
ehrsql_007,what is the gender of patient {patient_id}?,"select coalesce(c.concept_name, p.gender_source_value) as answer from <SCHEMA>.person p left join <SCHEMA>.concept c on c.concept_id = p.gender_concept_id where p.person_source_value = {patient_id}",What is the gender of patient 23620?,select patients.gender from patients where patients.subject_id = 24517,"select coalesce(c.concept_name, p.gender_source_value) as answer from <SCHEMA>.person p left join <SCHEMA>.concept c on c.concept_id = p.gender_concept_id where p.person_source_value = {patient_id}",NONE,NONE,patient_id,1,4,NO,low,,
ehrsql_008,what is the date of birth of patient {patient_id}?,"select make_date(p.year_of_birth, coalesce(p.month_of_birth, 1), coalesce(p.day_of_birth, 1)) as answer from <SCHEMA>.person p where p.person_source_value = {patient_id}",What is the date of birth for patient 83038?,select patients.dob from patients where patients.subject_id = 88409,"select make_date(p.year_of_birth, coalesce(p.month_of_birth, 1), coalesce(p.day_of_birth, 1)) as answer from <SCHEMA>.person p where p.person_source_value = {patient_id}",NONE,NONE,patient_id,1,6,NO,low,,
ehrsql_113,count the number of current patients aged [age_group].,"select count(distinct v.person_id) from <SCHEMA>.visit_occurrence v join <SCHEMA>.person p on p.person_id = v.person_id where v.visit_start_date <= {anchor_date} and coalesce(v.visit_end_date, {anchor_date}) >= {anchor_date} and {age_group_filter:date_part('year', age(coalesce(v.visit_start_date, {anchor_date}), make_date(p.year_of_birth, 1, 1)))}",How many current patients are in their 20s?,select count( distinct admissions.subject_id ) from admissions where admissions.dischtime is null and admissions.age between 20 and 29,"select count(distinct v.person_id) from <SCHEMA>.visit_occurrence v join <SCHEMA>.person p on p.person_id = v.person_id where v.visit_start_date <= {anchor_date} and coalesce(v.visit_end_date, {anchor_date}) >= {anchor_date} and {age_group_filter:date_part('year', age(coalesce(v.visit_start_date, {anchor_date}), make_date(p.year_of_birth, 1, 1)))}",age_group,age_group: 20s | 40s | 50s,NONE,3,0,NO,low,,current visit simulated with anchor containment at 2215-01-16
ehrsql_015,what is_verb the age of patient {patient_id} [time_filter_global1]?,"select date_part('year', age(v.visit_start_date, make_date(p.year_of_birth, 1, 1))) as answer from <SCHEMA>.visit_occurrence v join <SCHEMA>.person p on p.person_id = v.person_id where p.person_source_value = {patient_id} {time_filter_global1:v.visit_start_date} {time_filter_exact1:v.visit_start_date}",What was patient 1205's age during their first hospital encounter?,select admissions.age from admissions where admissions.subject_id = 19144 and admissions.dischtime is not null order by admissions.admittime asc limit 1,"select date_part('year', age(v.visit_start_date, make_date(p.year_of_birth, 1, 1))) as answer from <SCHEMA>.visit_occurrence v join <SCHEMA>.person p on p.person_id = v.person_id where p.person_source_value = {patient_id} {time_filter_global1:v.visit_start_date} {time_filter_exact1:v.visit_start_date}",time_filter_global1,time_filter_global1: rel-hosp-cur | rel-hosp-first | rel-hosp-last,patient_id,3,5,NO,low,,
ehrsql_017,what is_verb the marital status of patient {patient_id} [time_filter_global1]?,"select coalesce(vc.concept_name, o.value_as_string, oc.concept_name) as answer from <SCHEMA>.observation o join <SCHEMA>.person p on p.person_id = o.person_id left join <SCHEMA>.concept oc on oc.concept_id = o.observation_concept_id left join <SCHEMA>.concept vc on vc.concept_id = o.value_as_concept_id where p.person_source_value = {patient_id} {observation_filter:marital_status:o.observation_concept_id} {time_filter_global1:o.observation_date} {time_filter_exact1:o.observation_date}",What was the marital status of patient 5849 during their last visit to the hospital?,select admissions.marital_status from admissions where admissions.subject_id = 19981 and admissions.dischtime is not null order by admissions.admittime desc limit 1,"select coalesce(vc.concept_name, o.value_as_string, oc.concept_name) as answer from <SCHEMA>.observation o join <SCHEMA>.person p on p.person_id = o.person_id left join <SCHEMA>.concept oc on oc.concept_id = o.observation_concept_id left join <SCHEMA>.concept vc on vc.concept_id = o.value_as_concept_id where p.person_source_value = {patient_id} {observation_filter:marital_status:o.observation_concept_id} {time_filter_global1:o.observation_date} {time_filter_exact1:o.observation_date}",time_filter_global1,time_filter_global1: rel-hosp-cur | rel-hosp-first | rel-hosp-last,patient_id,3,4,NO,low,,
ehrsql_016,what is_verb the name of insurance of patient {patient_id} [time_filter_global1]?,"select coalesce(pc.concept_name, ppp.payer_source_value, ppp.plan_source_value) as answer from <SCHEMA>.payer_plan_period ppp join <SCHEMA>.person p on p.person_id = ppp.person_id left join <SCHEMA>.concept pc on pc.concept_id = ppp.payer_concept_id where p.person_source_value = {patient_id} {time_filter_global1:ppp.payer_plan_period_start_date} {time_filter_exact1:ppp.payer_plan_period_start_date}",What is the name of the insurance for patient 97677 during their last hospital encounter?,select admissions.insurance from admissions where admissions.subject_id = 31482 and admissions.dischtime is null,"select coalesce(pc.concept_name, ppp.payer_source_value, ppp.plan_source_value) as answer from <SCHEMA>.payer_plan_period ppp join <SCHEMA>.person p on p.person_id = ppp.person_id left join <SCHEMA>.concept pc on pc.concept_id = ppp.payer_concept_id where p.person_source_value = {patient_id} {time_filter_global1:ppp.payer_plan_period_start_date} {time_filter_exact1:ppp.payer_plan_period_start_date}",time_filter_global1,time_filter_global1: rel-hosp-cur | rel-hosp-first | rel-hosp-last,patient_id,3,6,NO,low,,
ehrsql_144,what are_verb the top [n_rank] frequent diagnoses of patients aged [age_group] [time_filter_global1]?,"select c.concept_name from (select co.condition_concept_id as concept_id, count(*) as n from <SCHEMA>.condition_occurrence co join <SCHEMA>.person p on p.person_id = co.person_id where {age_group_filter:date_part('year', age(co.condition_start_date, make_date(p.year_of_birth, 1, 1)))} {time_filter_global1:co.condition_start_date} group by co.condition_concept_id order by n desc {n_rank_limit}) r join <SCHEMA>.concept c on c.concept_id = r.concept_id order by r.n desc",Show me the top five most common diagnoses for patients in their 40s during this year.,"select d_icd_diagnoses.short_title from d_icd_diagnoses where d_icd_diagnoses.icd9_code in ( select t1.icd9_code from ( select diagnoses_icd.icd9_code, dense_rank() over ( order by count(*) desc ) as c1 from diagnoses_icd where diagnoses_icd.hadm_id in ( select admissions.hadm_id from admissions where admissions.age between 30 and 39 ) and strftime('%y',diagnoses_icd.charttime) <= '2100' group by diagnoses_icd.icd9_code ) as t1 where t1.c1 <= 4 )","select c.concept_name from (select co.condition_concept_id as concept_id, count(*) as n from <SCHEMA>.condition_occurrence co join <SCHEMA>.person p on p.person_id = co.person_id where {age_group_filter:date_part('year', age(co.condition_start_date, make_date(p.year_of_birth, 1, 1)))} {time_filter_global1:co.condition_start_date} group by co.condition_concept_id order by n desc {n_rank_limit}) r join <SCHEMA>.concept c on c.concept_id = r.concept_id order by r.n desc",n_rank; age_group; time_filter_global1,age_group: 20s | 30s | 40s | 50s | 60 or above; n_rank: five | four | three; time_filter_global1: abs-year-in | abs-year-since | abs-year-until | null | rel-year-last | rel-year-since | rel-year-this | rel-year-until,NONE,10,0,NO,low,,
ehrsql_152,what are_verb the top [n_rank] frequently prescribed drugs of patients aged [age_group] [time_filter_global1]?,"select c.concept_name from (select de.drug_concept_id as concept_id, count(*) as n from <SCHEMA>.drug_exposure de join <SCHEMA>.person p on p.person_id = de.person_id where 1=1 {age_group_filter:date_part('year', age(de.drug_exposure_start_date, make_date(p.year_of_birth, 1, 1)))} {time_filter_global1:de.drug_exposure_start_date} group by de.drug_concept_id order by n desc {n_rank_limit}) r join <SCHEMA>.concept c on c.concept_id = r.concept_id order by r.n desc",What were the top three most frequently prescribed drugs for patients in their 20s since 4 years ago?,"select t1.drug from ( select prescriptions.drug, dense_rank() over ( order by count(*) desc ) as c1 from prescriptions where prescriptions.hadm_id in ( select admissions.hadm_id from admissions where admissions.age between 30 and 39 ) and datetime(prescriptions.startdate,'start of year') = datetime(current_time,'start of year','-1 year') group by prescriptions.drug ) as t1 where t1.c1 <= 5","select c.concept_name from (select de.drug_concept_id as concept_id, count(*) as n from <SCHEMA>.drug_exposure de join <SCHEMA>.person p on p.person_id = de.person_id where 1=1 {age_group_filter:date_part('year', age(de.drug_exposure_start_date, make_date(p.year_of_birth, 1, 1)))} {time_filter_global1:de.drug_exposure_start_date} group by de.drug_concept_id order by n desc {n_rank_limit}) r join <SCHEMA>.concept c on c.concept_id = r.concept_id order by r.n desc",n_rank; age_group; time_filter_global1,age_group: 20s | 30s | 40s | 50s | 60 or above; n_rank: five | four | three; time_filter_global1: abs-year-in | abs-year-since | abs-year-until | null | rel-year-since | rel-year-this,NONE,10,0,NO,low,,
ehrsql_148,what are_verb the top [n_rank] frequent procedures of patients aged [age_group] [time_filter_global1]?,"select c.concept_name from (select po.procedure_concept_id as concept_id, count(*) as n from <SCHEMA>.procedure_occurrence po join <SCHEMA>.person p on p.person_id = po.person_id where 1=1 {age_group_filter:date_part('year', age(po.procedure_date, make_date(p.year_of_birth, 1, 1)))} {time_filter_global1:po.procedure_date} group by po.procedure_concept_id order by n desc {n_rank_limit}) r join <SCHEMA>.concept c on c.concept_id = r.concept_id order by r.n desc",What are the top four most frequent procedures for patients in their 20s since 2101?,"select d_icd_procedures.short_title from d_icd_procedures where d_icd_procedures.icd9_code in ( select t1.icd9_code from ( select procedures_icd.icd9_code, dense_rank() over ( order by count(*) desc ) as c1 from procedures_icd where procedures_icd.hadm_id in ( select admissions.hadm_id from admissions where admissions.age between 20 and 29 ) and datetime(procedures_icd.charttime) <= datetime(current_time,'-4 year') group by procedures_icd.icd9_code ) as t1 where t1.c1 <= 5 )","select c.concept_name from (select po.procedure_concept_id as concept_id, count(*) as n from <SCHEMA>.procedure_occurrence po join <SCHEMA>.person p on p.person_id = po.person_id where 1=1 {age_group_filter:date_part('year', age(po.procedure_date, make_date(p.year_of_birth, 1, 1)))} {time_filter_global1:po.procedure_date} group by po.procedure_concept_id order by n desc {n_rank_limit}) r join <SCHEMA>.concept c on c.concept_id = r.concept_id order by r.n desc",n_rank; age_group; time_filter_global1,age_group: 20s | 30s | 40s | 60 or above; n_rank: five | four | three; time_filter_global1: abs-year-since | null | rel-year-last | rel-year-since | rel-year-this | rel-year-until,NONE,10,0,NO,low,,
