query_id,benchmark_id,source_question_id,db_id,split,q_tag,tag,question,ehrsql_template,query,is_fully_instantiated,is_impossible,answerability,execution_eligible,unresolved_macros,review_flags,value_arguments_json,tag_item_subtypes_json,ehrsql_value_json,mimiciii_gold_query,instantiation_source
schera_ehrsql_draft_00001,ehrsql_001,b0cf870ad682fec65dec583c,mimic_iii,test,what is the intake method of {drug_name}?,what is the intake method of {drug_name}?,What is the method of fluconazole intake?,what is the intake method of fluconazole?,"select distinct coalesce(rc.concept_name, de.route_source_value, de.sig) as answer from <SCHEMA>.drug_exposure de left join <SCHEMA>.concept rc on rc.concept_id = de.route_concept_id where 1=1 AND de.drug_concept_id IN (SELECT 1754994 AS concept_id UNION SELECT descendant_concept_id AS concept_id FROM <SCHEMA>.concept_ancestor WHERE ancestor_concept_id = 1754994)",TRUE,FALSE,answerable,TRUE,,,"{""drug_name"": {""display_value"": ""fluconazole"", ""source_argument_name"": ""drug_name"", ""value_type"": ""DRUG_NAME""}}",{},"{""drug_name"": ""fluconazole""}",select distinct prescriptions.route from prescriptions where prescriptions.drug = 'fluconazole',schera_ehrsql_mimic_iii_test_seed+ehrsql_value_mapping_links
schera_ehrsql_draft_00002,ehrsql_001,ea2a11ee9365d4ddc5ea34f5,mimic_iii,test,what is the intake method of {drug_name}?,what is the intake method of {drug_name}?,What are the methods of intake for the chemo syringe (chemo)?,what is the intake method of syringe (chemo)?,"select distinct coalesce(rc.concept_name, de.route_source_value, de.sig) as answer from <SCHEMA>.drug_exposure de left join <SCHEMA>.concept rc on rc.concept_id = de.route_concept_id where 1=1 AND de.drug_concept_id IN (SELECT 702509 AS concept_id UNION SELECT descendant_concept_id AS concept_id FROM <SCHEMA>.concept_ancestor WHERE ancestor_concept_id = 702509)",TRUE,FALSE,answerable,TRUE,,,"{""drug_name"": {""display_value"": ""syringe (chemo)"", ""source_argument_name"": ""drug_name"", ""value_type"": ""DRUG_NAME""}}",{},"{""drug_name"": ""syringe (chemo)""}",select distinct prescriptions.route from prescriptions where prescriptions.drug = 'syringe (chemo)',schera_ehrsql_mimic_iii_test_seed+ehrsql_value_mapping_links
schera_ehrsql_draft_00003,ehrsql_001,42fddd9079dc3862d7b47bc4,mimic_iii,test,what is the intake method of {drug_name}?,what is the intake method of {drug_name}?,What is the method of bumetanide intake?,what is the intake method of bumetanide?,"select distinct coalesce(rc.concept_name, de.route_source_value, de.sig) as answer from <SCHEMA>.drug_exposure de left join <SCHEMA>.concept rc on rc.concept_id = de.route_concept_id where 1=1 AND de.drug_concept_id IN (SELECT 932745 AS concept_id UNION SELECT descendant_concept_id AS concept_id FROM <SCHEMA>.concept_ancestor WHERE ancestor_concept_id = 932745)",TRUE,FALSE,answerable,TRUE,,,"{""drug_name"": {""display_value"": ""bumetanide"", ""source_argument_name"": ""drug_name"", ""value_type"": ""DRUG_NAME""}}",{},"{""drug_name"": ""bumetanide""}",select distinct prescriptions.route from prescriptions where prescriptions.drug = 'bumetanide',schera_ehrsql_mimic_iii_test_seed+ehrsql_value_mapping_links
schera_ehrsql_draft_00004,ehrsql_001,c8159e0b5d53f2418becf810,mimic_iii,test,what is the intake method of {drug_name}?,what is the intake method of {drug_name}?,What are the methods of intake for ciprofloxacin IV?,what is the intake method of ciprofloxacin iv?,"select distinct coalesce(rc.concept_name, de.route_source_value, de.sig) as answer from <SCHEMA>.drug_exposure de left join <SCHEMA>.concept rc on rc.concept_id = de.route_concept_id where 1=1 AND de.drug_concept_id IN (SELECT 1797513 AS concept_id UNION SELECT descendant_concept_id AS concept_id FROM <SCHEMA>.concept_ancestor WHERE ancestor_concept_id = 1797513)",TRUE,FALSE,answerable,TRUE,,,"{""drug_name"": {""display_value"": ""ciprofloxacin iv"", ""source_argument_name"": ""drug_name"", ""value_type"": ""DRUG_NAME""}}",{},"{""drug_name"": ""ciprofloxacin iv""}",select distinct prescriptions.route from prescriptions where prescriptions.drug = 'ciprofloxacin iv',schera_ehrsql_mimic_iii_test_seed+ehrsql_value_mapping_links
schera_ehrsql_draft_00005,ehrsql_001,709e38dd7e16a35b8554aee3,mimic_iii,test,what is the intake method of {drug_name}?,what is the intake method of {drug_name}?,How is Sonata delivered?,what is the intake method of sonata?,"select distinct coalesce(rc.concept_name, de.route_source_value, de.sig) as answer from <SCHEMA>.drug_exposure de left join <SCHEMA>.concept rc on rc.concept_id = de.route_concept_id where 1=1 AND de.drug_concept_id IN (SELECT 720730 AS concept_id UNION SELECT descendant_concept_id AS concept_id FROM <SCHEMA>.concept_ancestor WHERE ancestor_concept_id = 720730)",TRUE,FALSE,answerable,TRUE,,,"{""drug_name"": {""display_value"": ""sonata"", ""source_argument_name"": ""drug_name"", ""value_type"": ""DRUG_NAME""}}",{},"{""drug_name"": ""sonata""}",select distinct prescriptions.route from prescriptions where prescriptions.drug = 'sonata',schera_ehrsql_mimic_iii_test_seed+ehrsql_value_mapping_links
schera_ehrsql_draft_00006,ehrsql_001,c358b9d805a7c3ad463a6c42,mimic_iii,test,what is the intake method of {drug_name}?,what is the intake method of {drug_name}?,How is fenofibrate administered?,what is the intake method of fenofibrate?,"select distinct coalesce(rc.concept_name, de.route_source_value, de.sig) as answer from <SCHEMA>.drug_exposure de left join <SCHEMA>.concept rc on rc.concept_id = de.route_concept_id where 1=1 AND de.drug_concept_id IN (SELECT 1551865 AS concept_id UNION SELECT descendant_concept_id AS concept_id FROM <SCHEMA>.concept_ancestor WHERE ancestor_concept_id = 1551865)",TRUE,FALSE,answerable,TRUE,,,"{""drug_name"": {""display_value"": ""fenofibrate"", ""source_argument_name"": ""drug_name"", ""value_type"": ""DRUG_NAME""}}",{},"{""drug_name"": ""fenofibrate""}",select distinct prescriptions.route from prescriptions where prescriptions.drug = 'fenofibrate',schera_ehrsql_mimic_iii_test_seed+ehrsql_value_mapping_links
schera_ehrsql_draft_00007,ehrsql_002,9a7092ebe4be1be9c5a7adac,mimic_iii,test,what is the cost of a procedure named {procedure_name}?,what is the cost of a procedure named {procedure_name}?,What is the cost for the procedure Oth Transureth Prostatec?,what is the cost of a procedure named oth transureth prostatec?,select cst.total_cost as answer from <SCHEMA>.procedure_occurrence po join <SCHEMA>.cost cst on cst.cost_event_id = po.procedure_occurrence_id and cst.cost_domain_id = 'Procedure' where 1=1 AND po.procedure_concept_id IN (SELECT 4234536 AS concept_id UNION SELECT descendant_concept_id AS concept_id FROM <SCHEMA>.concept_ancestor WHERE ancestor_concept_id = 4234536),TRUE,FALSE,answerable,TRUE,,,"{""procedure_name"": {""display_value"": ""oth transureth prostatec"", ""source_argument_name"": ""procedure_name"", ""value_type"": ""PROCEDURE_NAME""}}",{},"{""procedure_name"": ""oth transureth prostatec""}",select distinct cost.cost from cost where cost.event_type = 'procedures_icd' and cost.event_id in ( select procedures_icd.row_id from procedures_icd where procedures_icd.icd9_code = ( select d_icd_procedures.icd9_code from d_icd_procedures where d_icd_procedures.short_title = 'oth transureth prostatec' ) ),schera_ehrsql_mimic_iii_test_seed+ehrsql_value_mapping_links
schera_ehrsql_draft_00008,ehrsql_002,8ca5fadd1b78e57997223f04,mimic_iii,test,what is the cost of a procedure named {procedure_name}?,what is the cost of a procedure named {procedure_name}?,What does it cost to have a packed cell transfusion?,what is the cost of a procedure named packed cell transfusion?,select cst.total_cost as answer from <SCHEMA>.procedure_occurrence po join <SCHEMA>.cost cst on cst.cost_event_id = po.procedure_occurrence_id and cst.cost_domain_id = 'Procedure' where 1=1 AND po.procedure_concept_id IN (SELECT 4125928 AS concept_id UNION SELECT descendant_concept_id AS concept_id FROM <SCHEMA>.concept_ancestor WHERE ancestor_concept_id = 4125928),TRUE,FALSE,answerable,TRUE,,,"{""procedure_name"": {""display_value"": ""packed cell transfusion"", ""source_argument_name"": ""procedure_name"", ""value_type"": ""PROCEDURE_NAME""}}",{},"{""procedure_name"": ""packed cell transfusion""}",select distinct cost.cost from cost where cost.event_type = 'procedures_icd' and cost.event_id in ( select procedures_icd.row_id from procedures_icd where procedures_icd.icd9_code = ( select d_icd_procedures.icd9_code from d_icd_procedures where d_icd_procedures.short_title = 'packed cell transfusion' ) ),schera_ehrsql_mimic_iii_test_seed+ehrsql_value_mapping_links
schera_ehrsql_draft_00009,ehrsql_002,a7d7eed1b044203556bb590e,mimic_iii,test,what is the cost of a procedure named {procedure_name}?,what is the cost of a procedure named {procedure_name}?,How much does it cost to undergo a hepatic lobectomy?,what is the cost of a procedure named hepatic lobectomy?,select cst.total_cost as answer from <SCHEMA>.procedure_occurrence po join <SCHEMA>.cost cst on cst.cost_event_id = po.procedure_occurrence_id and cst.cost_domain_id = 'Procedure' where 1=1 AND po.procedure_concept_id IN (SELECT 4312613 AS concept_id UNION SELECT descendant_concept_id AS concept_id FROM <SCHEMA>.concept_ancestor WHERE ancestor_concept_id = 4312613),TRUE,FALSE,answerable,TRUE,,,"{""procedure_name"": {""display_value"": ""hepatic lobectomy"", ""source_argument_name"": ""procedure_name"", ""value_type"": ""PROCEDURE_NAME""}}",{},"{""procedure_name"": ""hepatic lobectomy""}",select distinct cost.cost from cost where cost.event_type = 'procedures_icd' and cost.event_id in ( select procedures_icd.row_id from procedures_icd where procedures_icd.icd9_code = ( select d_icd_procedures.icd9_code from d_icd_procedures where d_icd_procedures.short_title = 'hepatic lobectomy' ) ),schera_ehrsql_mimic_iii_test_seed+ehrsql_value_mapping_links
schera_ehrsql_draft_00010,ehrsql_002,3265347de237dd384c4932b2,mimic_iii,test,what is the cost of a procedure named {procedure_name}?,what is the cost of a procedure named {procedure_name}?,What are the prices for opn tricus valvuloplasty?,what is the cost of a procedure named opn tricus valvuloplasty?,select cst.total_cost as answer from <SCHEMA>.procedure_occurrence po join <SCHEMA>.cost cst on cst.cost_event_id = po.procedure_occurrence_id and cst.cost_domain_id = 'Procedure' where 1=1 AND po.procedure_concept_id IN (SELECT 4148131 AS concept_id UNION SELECT descendant_concept_id AS concept_id FROM <SCHEMA>.concept_ancestor WHERE ancestor_concept_id = 4148131),TRUE,FALSE,answerable,TRUE,,,"{""procedure_name"": {""display_value"": ""opn tricus valvuloplasty"", ""source_argument_name"": ""procedure_name"", ""value_type"": ""PROCEDURE_NAME""}}",{},"{""procedure_name"": ""opn tricus valvuloplasty""}",select distinct cost.cost from cost where cost.event_type = 'procedures_icd' and cost.event_id in ( select procedures_icd.row_id from procedures_icd where procedures_icd.icd9_code = ( select d_icd_procedures.icd9_code from d_icd_procedures where d_icd_procedures.short_title = 'opn tricus valvuloplasty' ) ),schera_ehrsql_mimic_iii_test_seed+ehrsql_value_mapping_links
